RMSE,r,r_s,K,K_s,init_cond,start_date,end_date,year
1242.464320632403,-0.0033193536548671897,-0.05567474707977616,32174.238530972136,5.1262935340087506e-27,627.313307919794,2005-05-11,2005-10-01,2005
1195.4865815419264,-0.06490435917846667,-0.3282023050882192,26770.78720218159,24995.723930601533,187.513441815447,2006-05-20,2006-10-01,2006
683.5334074206997,-0.00664134697249634,-0.13730449471407735,7748.630283590163,2407.689575794101,444.910858847572,2007-05-20,2007-10-01,2007
1228.5983938739864,-0.01363416981838896,-0.10967005644242096,63879.52876611434,63277.50194423597,499.129452282294,2008-05-18,2008-10-01,2008
1247.117009066664,-0.02356060231289877,-0.3499999999999999,18456.19597480665,16695.055624106524,57.0445038959904,2009-06-01,2009-11-01,2009
903.0035762114451,0.0014575585494449944,-0.07588527328943541,51743.86090158893,2.1581463181059444e-21,176.73557570072,2010-05-01,2010-11-01,2010
383.42310752990636,0.0006356487111070662,-0.06863581112198613,51420.959652227415,6003.525902961283,255.78308760979,2011-05-07,2011-10-01,2011
938.0283439526577,-0.007420078589266318,-0.07502677808105693,15457.51190168143,3.53190601337797e-11,721.528050322819,2012-05-09,2012-10-01,2012
3524.2321126422885,-0.0046678503166320585,-0.0677953861815703,99999.99999819306,1.0479040124832422e-15,529.196491136694,2013-05-01,2013-11-01,2013
1097.005149818046,-0.031055852745224356,-0.18153826773523435,8247.598489203778,8.607298126047305e-11,248.950485649246,2014-05-25,2014-10-09,2014
647.3653016531792,-0.003790549641937613,-0.11389479582897101,9452.20659115539,1.5793281021337827e-15,402.978302369288,2015-05-18,2015-10-17,2015
579.9252441290774,-0.014645445934735811,-0.06698049850740923,51915.47856573787,46950.76530764686,3293.04996887265,2016-06-01,2016-10-03,2016
1534.5201489711808,-0.02735501682610821,-0.09102440604215302,99999.99998848379,3.457866496123073e-09,803.375700077066,2017-05-18,2017-10-01,2017
798.3707220158495,-0.012864093083746258,-0.04798304377237276,99999.99998539076,93746.48235459023,5379.55287519959,2018-06-01,2018-10-16,2018
1220.7557840779823,-0.008032155811547143,-0.10092238288205042,98757.57664240443,98655.50043402561,1916.84502214766,2019-05-04,2019-10-01,2019
